B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,NDVI,NDWI,NDMI,class
0.477100,0.228100,0.320500,0.305400,0.593700,1.082000,1.315300,1.506600,1.407000,1.488300,0.662914,-0.649171,0.034185,1.000000
0.367000,0.218200,0.321800,0.285700,0.553800,1.150800,1.434600,1.498100,1.494200,1.492200,0.679673,-0.646354,0.001303,1.000000
0.367000,0.218200,0.321800,0.285700,0.553800,1.150800,1.434600,1.498100,1.494200,1.492200,0.679673,-0.646354,0.001303,1.000000
0.501300,0.200500,0.347300,0.277900,0.513800,1.001400,1.182300,1.272000,1.211100,1.500100,0.641396,-0.571049,0.024526,1.000000
0.501300,0.200500,0.347300,0.277900,0.513800,1.001400,1.182300,1.272000,1.211100,1.500100,0.641396,-0.571049,0.024526,1.000000
0.501300,0.200500,0.347300,0.277900,0.513800,1.001400,1.182300,1.272000,1.211100,1.500100,0.641396,-0.571049,0.024526,1.000000
0.381400,0.237200,0.329600,0.325700,0.601600,1.094400,1.237300,1.431900,1.303500,1.426700,0.629381,-0.625774,0.046940,1.000000
0.422700,0.201800,0.262800,0.262100,0.572800,1.145600,1.289700,1.576100,1.385400,1.457500,0.714830,-0.714177,0.064393,1.000000
0.409600,0.205800,0.340100,0.289700,0.537400,1.118000,1.351300,1.466700,1.472600,1.512500,0.670121,-0.623533,-0.002007,1.000000
0.249700,0.215600,0.374200,0.345400,0.724200,1.033500,1.082600,1.148800,1.122000,1.336300,0.537679,-0.508601,0.011802,1.000000
0.276600,0.226800,0.400400,0.351300,0.622600,0.915500,1.043300,0.992900,1.027600,1.333600,0.477310,-0.425249,-0.017174,1.000000
0.272000,0.249700,0.401700,0.351900,0.635700,1.052500,1.194000,1.274700,1.271400,1.238600,0.567318,-0.520759,0.001296,1.000000
0.268700,0.254900,0.392600,0.342100,0.620000,1.032200,1.164600,1.279900,1.255000,1.245200,0.578175,-0.530523,0.009823,1.000000
0.512500,0.254300,0.385300,0.338200,0.628500,1.029600,1.175000,1.234700,1.226800,1.580700,0.569966,-0.524321,0.003209,1.000000
0.512500,0.254300,0.385300,0.338200,0.628500,1.029600,1.175000,1.234700,1.226800,1.580700,0.569966,-0.524321,0.003209,1.000000
0.313300,0.252300,0.367000,0.341400,0.631800,1.010500,1.091800,1.096400,1.153400,1.330400,0.525108,-0.498428,-0.025336,1.000000
0.234000,0.218200,0.331600,0.303400,0.576700,1.116100,1.300900,1.418800,1.420800,1.301500,0.647660,-0.621115,-0.000704,1.000000
0.258200,0.144200,0.218900,0.178900,0.439700,1.158700,1.429300,1.648200,1.550600,1.410300,0.804171,-0.765519,0.030511,1.000000
0.258200,0.144200,0.218900,0.178900,0.439700,1.158700,1.429300,1.648200,1.550600,1.410300,0.804171,-0.765519,0.030511,1.000000
0.234000,0.218200,0.331600,0.303400,0.576700,1.116100,1.300900,1.418800,1.420800,1.301500,0.647660,-0.621115,-0.000704,1.000000
0.239200,0.207700,0.312600,0.263500,0.538000,0.952200,1.103000,0.996800,1.188100,1.237300,0.581846,-0.522529,-0.087556,1.000000
0.239200,0.207700,0.312600,0.263500,0.538000,0.952200,1.103000,0.996800,1.188100,1.237300,0.581846,-0.522529,-0.087556,1.000000
0.239200,0.207700,0.312600,0.263500,0.538000,0.952200,1.103000,0.996800,1.188100,1.237300,0.581846,-0.522529,-0.087556,1.000000
0.244400,0.152700,0.245800,0.215600,0.507200,1.085300,1.295000,1.497500,1.434600,1.340200,0.748293,-0.718006,0.021452,1.000000
0.235300,0.199200,0.317200,0.286400,0.572800,1.052500,1.215700,1.251700,1.350700,1.277900,0.627593,-0.595640,-0.038042,1.000000
0.297500,0.161900,0.285100,0.224800,0.448300,1.091200,1.328400,1.315900,1.401100,1.473900,0.708185,-0.643848,-0.031358,1.000000
0.313300,0.177600,0.297500,0.239900,0.456800,1.054500,1.292400,1.280600,1.366400,1.481100,0.684446,-0.622964,-0.032414,1.000000
0.319200,0.146100,0.232000,0.191400,0.407600,1.015800,1.192100,1.457500,1.272000,1.422100,0.767845,-0.725363,0.067961,1.000000
0.310600,0.157300,0.241200,0.203200,0.386000,0.956200,1.155400,1.347400,1.227500,1.366400,0.737908,-0.696336,0.046565,1.000000
0.310600,0.157300,0.241200,0.203200,0.386000,0.956200,1.155400,1.347400,1.227500,1.366400,0.737908,-0.696336,0.046565,1.000000
0.319200,0.146100,0.232000,0.191400,0.407600,1.015800,1.192100,1.457500,1.272000,1.422100,0.767845,-0.725363,0.067961,1.000000
0.279800,0.270000,0.397100,0.374200,0.681600,1.133100,1.308100,1.354600,1.350700,1.315300,0.567099,-0.546612,0.001442,1.000000
0.258200,0.272600,0.400400,0.377500,0.705800,1.104900,1.247800,1.268800,1.296300,1.232700,0.541396,-0.520249,-0.010721,1.000000
0.258200,0.272600,0.400400,0.377500,0.705800,1.104900,1.247800,1.268800,1.296300,1.232700,0.541396,-0.520249,-0.010721,1.000000
0.409600,0.229400,0.328300,0.296900,0.541300,1.137700,1.360500,1.523000,1.431900,1.500800,0.673718,-0.645330,0.030830,1.000000
0.381400,0.226800,0.355200,0.316500,0.534100,1.082600,1.302800,1.437800,1.369000,1.403800,0.639172,-0.603793,0.024512,1.000000
0.477100,0.228100,0.320500,0.305400,0.593700,1.082000,1.315300,1.506600,1.407000,1.488300,0.662914,-0.649171,0.034185,1.000000
0.444300,0.195900,0.308700,0.267400,0.540000,1.108200,1.385400,1.481700,1.500800,1.574800,0.694243,-0.655161,-0.006404,1.000000
0.444300,0.195900,0.308700,0.267400,0.540000,1.108200,1.385400,1.481700,1.500800,1.574800,0.694243,-0.655161,-0.006404,1.000000
0.444300,0.195900,0.308700,0.267400,0.540000,1.108200,1.385400,1.481700,1.500800,1.574800,0.694243,-0.655161,-0.006404,1.000000
0.444300,0.195900,0.308700,0.267400,0.540000,1.108200,1.385400,1.481700,1.500800,1.574800,0.694243,-0.655161,-0.006404,1.000000
0.444300,0.195900,0.308700,0.267400,0.540000,1.108200,1.385400,1.481700,1.500800,1.574800,0.694243,-0.655161,-0.006404,1.000000
0.501300,0.200500,0.347300,0.277900,0.513800,1.001400,1.182300,1.272000,1.211100,1.500100,0.641396,-0.571049,0.024526,1.000000
0.422700,0.201800,0.262800,0.262100,0.572800,1.145600,1.289700,1.576100,1.385400,1.457500,0.714830,-0.714177,0.064393,1.000000
0.422700,0.201800,0.262800,0.262100,0.572800,1.145600,1.289700,1.576100,1.385400,1.457500,0.714830,-0.714177,0.064393,1.000000
0.422700,0.201800,0.262800,0.262100,0.572800,1.145600,1.289700,1.576100,1.385400,1.457500,0.714830,-0.714177,0.064393,1.000000
0.334900,0.226100,0.355900,0.329000,0.607500,1.142300,1.370300,1.414200,1.423400,1.443100,0.622533,-0.597876,-0.003242,1.000000
0.336200,0.183500,0.287700,0.253000,0.505300,1.137700,1.419500,1.565600,1.542000,1.371600,0.721764,-0.689527,0.007594,1.000000
0.306700,0.219500,0.328300,0.297500,0.558400,1.179600,1.391300,1.422100,1.495500,1.317900,0.653989,-0.624886,-0.025158,1.000000
0.306700,0.219500,0.328300,0.297500,0.558400,1.179600,1.391300,1.422100,1.495500,1.317900,0.653989,-0.624886,-0.025158,1.000000
0.239200,0.207700,0.312600,0.263500,0.538000,0.952200,1.103000,0.996800,1.188100,1.237300,0.581846,-0.522529,-0.087556,1.000000
0.269300,0.137000,0.203800,0.155300,0.418100,1.142300,1.411000,1.620700,1.519100,1.446400,0.825113,-0.776596,0.032359,1.000000
0.269300,0.137000,0.203800,0.155300,0.418100,1.142300,1.411000,1.620700,1.519100,1.446400,0.825113,-0.776596,0.032359,1.000000
0.269300,0.137000,0.203800,0.155300,0.418100,1.142300,1.411000,1.620700,1.519100,1.446400,0.825113,-0.776596,0.032359,1.000000
0.272000,0.137000,0.222200,0.180200,0.429900,1.028900,1.253000,1.656100,1.404400,1.373000,0.803736,-0.763403,0.082241,1.000000
0.272000,0.137000,0.222200,0.180200,0.429900,1.028900,1.253000,1.656100,1.404400,1.373000,0.803736,-0.763403,0.082241,1.000000
0.313300,0.177600,0.297500,0.239900,0.456800,1.054500,1.292400,1.280600,1.366400,1.481100,0.684446,-0.622964,-0.032414,1.000000
0.313300,0.177600,0.297500,0.239900,0.456800,1.054500,1.292400,1.280600,1.366400,1.481100,0.684446,-0.622964,-0.032414,1.000000
